Code,Libellé,population,Indic1,Indic3,Indic4,Indic5,Indic6,Indic7,Indic8,Indic9,Indic10,Indic11,Indic12,Indic13,Indic14,Indic15,Indic16,Indic17
11001,Aigues-Vives,554,53.87,413451,17770,89.4,9.8,50,19.5,36.8,95,3.323333333,3,15,0,16.2,14.5,
11002,Airoux,178,30.97,139410,22990,93.8,0,33.3,46.7,18,64,3.018333333,7,15,11.2,11.2,12.5,
11003,Ajac,202,38,141594,21770,93.6,0,40,21.6,26.9,241,13.40166667,3,15,5.6,13.9,17,
11004,Alaigne,337,24.31,192021,18460,88.4,16.1,60,25.9,28.9,245,3.753333333,3,15,1.8,14.3,14.4,
11005,Alairac,1 396,81.73,754568,21650,96.6,9.2,58.7,30.7,18.5,67,2.888333333,3,7,8.2,10.3,12,11.27
11006,Albas,80,3.44,88020,,86.7,0,100,30.9,30.9,310,10.23833333,7,45,0,0,16,
11007,Albières,119,6.9,86249,17800,80,7.1,,34.7,19.4,152,18.86333333,7,30,8.8,4.4,25.9,
11008,Alet-les-Bains,391,16.48,530869,18710,81.1,4.6,55.4,24.8,33,258,6.696666667,15,15,2.9,8.6,20.8,3.74
11009,Alzonne,1 619,71.13,1501528,19160,85,15.2,44.1,17.3,39.2,99,6.611666667,3,15,2.5,15.8,20.4,13.04
11010,Antugnac,285,28.45,199092,20150,95.6,13.7,15.2,29.3,22.2,226,4.851666667,7,7,3.8,5.5,15.6,
11011,Aragon,484,22.71,313520,22390,92,6.7,16.7,35.8,20.8,115,6.083333333,3,15,8.4,6,10,
11012,Argeliers,2 176,199.72,1508064,20810,92.2,7.2,29.4,24,25,111,5.51,3,15,5,11.6,13,2.52
11013,Argens-Minervois,359,77.34,250324,20850,98.2,5.6,29.7,16.8,30.4,274,4.771666667,3,15,7.5,11.3,18.5,
11014,Armissan,1 517,119.5,1014333,22610,95.1,8.3,21.5,31.8,22.6,139,4.165,3,15,6.2,8.5,11.7,05.02
11015,Arques,262,14.09,205152,14670,88.1,11.9,25,33.5,25.3,105,8.77,3,15,7,2.3,22.7,2.38
11016,Arquettes-en-Val,82,8.59,87509,,91.1,0,50,18.4,28.9,967,3.348333333,3,30,5.9,5.9,8.3,
11017,Artigues,75,11.92,88203,,92.5,0,50,18.3,40.8,850,3.186666667,7,30,0,0,10.7,
11018,Arzens,1 236,57.37,1002660,22090,92.7,11.9,42.9,26.5,23.7,109,4.806666667,3,3,3.9,13.6,9.6,6.78
11019,Aunat,62,5.84,99097,,77.1,14.3,33.3,16,30,208,10.65333333,3,30,9.1,0,18.8,
11020,Auriac,34,1.67,50271,,113.3,0,,44.4,18.5,250,23.45,15,30,0,20,18.2,
11021,Axat,504,43.59,475338,19020,85.1,8.3,39,16,37,250,11.94666667,3,15,3.6,5.6,11.8,13.83
11022,Azille,1 155,48.14,911160,19100,87.5,10.5,40.9,20.5,33.3,165,3.421666667,3,15,1.5,12.8,20.2,2.84
11023,Badens,753,77.6,411491,20320,89.3,9.6,24.4,22.9,29.3,121,4.673333333,3,7,6.3,12.6,14.9,4.62
11024,Bages,794,62.41,622541,21190,90.1,9.3,29.7,29.9,24,116,5.461666667,3,7,2.2,8.2,11.9,
11025,Bagnoles,315,54.71,185224,20020,98.4,19.2,27.8,25.7,25.2,79,02.04,3,15,4.4,8.8,15.2,
11026,Baraigne,171,36.13,87664,23800,97.1,0,,28.1,15.6,68,5.116666667,7,15,3.7,19.1,11,
11027,Barbaira,811,84.36,832354,18970,86.1,10.3,59.1,22.9,24.3,77,4.988333333,3,7,4.9,11.2,15,10.26
11028,Belcaire,380,12.26,279780,18960,94.2,2.6,45.5,21.2,29.4,316,6.933333333,3,30,3,1.5,13,3.68
11029,Belcastel-et-Buc,64,4.31,44240,,100,0,0,30.2,17,343,10.50333333,7,15,0,0,3.8,
11030,Belflou,117,12.77,71029,25500,100,11.1,0,48.7,21.8,61,4.443333333,7,15,23.5,12.3,3.3,
11031,Belfort-sur-Rebenty,23,04.01,42145,,100,0,,28.6,23.8,,5.781666667,7,30,0,0,0,
11032,Bellegarde-du-Razès,254,38.53,158011,18480,90,9.6,71.4,29.5,26.8,101,5.508333333,3,30,7.6,8.1,15.4,
11033,Belpech,1 371,31.54,832879,20120,91.3,6.7,32.4,19.1,34.5,164,14.95666667,3,15,5.9,11.3,9.8,
11034,Belvèze-du-Razès,857,188.72,488531,19500,80.7,9,61.4,16.5,37,204,11.935,3,15,1.3,14,18,09.01
11035,Belvianes-et-Cavirac,253,20.38,177365,17790,89.5,6.3,40,9.8,43.3,451,7.613333333,7,7,0,4.3,22,
11036,Belvis,162,6.82,195847,16800,95.6,0,10.2,19.7,35.9,300,6.843333333,3,30,7.5,3.8,26.9,
11037,Berriac,947,355.81,660514,17630,86.8,16.9,37,15.3,48.4,68,9.833333333,7,7,3.2,13.6,21.8,4.8
11038,Bessède-de-Sault,51,03.06,123575,,63.3,33.3,0,15.8,47.4,288,13.94666667,7,30,0,0,21.4,
11039,La Bezole,50,7.22,32368,,96,0,100,30.8,20.5,138,14.28833333,7,15,12.5,12.5,23.8,
11040,Bizanet,1 795,47.29,1072287,20860,91.6,7.2,33.9,26.3,27.2,89,4.68,3,15,5,10.5,12.7,05.08
11041,Bize-Minervois,1 273,59.76,972990,20520,90.9,18.6,35.6,25.3,28.4,138,6.236666667,3,15,4.1,14.1,16.5,5.32
11042,Blomac,248,27.94,142071,18270,90.8,5,61.5,19,34.6,97,2.536666667,3,7,5.8,12.2,8.2,
11043,Bouilhonnac,225,38.7,172959,25080,91.6,5.3,40,33.5,27.3,143,4.418333333,3,7,2.6,5.2,13.4,
11044,Bouisse,101,04.09,94279,16000,87.3,9.1,100,27,32.6,257,22.29,3,30,5.3,10.6,18.2,
11045,Bouriège,148,13.52,109946,18600,101.7,0,,30.6,19.8,79,12.745,3,15,18.7,14,16.4,
11046,Bourigeole,55,06.06,43397,,84,0,,39.5,27.9,100,15.93333333,7,30,12.5,0,0,
11047,Le Bousquet,50,1.85,102488,,90,0,,11.1,28.9,2000,16.96666667,3,30,0,0,0,
11048,Boutenac,748,31.45,465778,20820,88.5,4.6,31.1,20.9,38.1,114,3.876666667,3,15,2.5,14.7,14.8,
11049,Bram,3 309,182.05,3048371,20720,87.6,11.4,46.4,23.8,30.4,124,6.481666667,3,3,6.1,9.6,11,10.02
11051,Brézilhac,181,26.98,103398,18270,95.4,15.4,0,36.1,22.6,65,8.175,7,15,7.7,11.2,6.6,
11052,Brousses-et-Villaret,342,30.47,197253,19820,91.5,2.9,24.4,26.7,30.7,148,5.286666667,7,7,1.6,10.9,23.4,
11053,Brugairolles,300,33.88,190238,19110,95.1,12.6,40,20.5,26.8,108,6.988333333,3,15,4.2,13.1,14.5,
11054,Les Brunels,279,22.47,188899,22450,99.3,3.9,16.7,30.9,21.5,158,11.72833333,15,15,8.4,10.1,14,
11055,Bugarach,244,09.02,185562,14190,92.3,19.2,25,26.1,22.7,172,8.155,3,30,7,2.3,34.2,
11056,Cabrespine,173,9.51,199672,17970,86.7,22.2,36.8,32,22.7,117,6.951666667,3,30,6.6,3.6,35.1,2.47
11057,Cahuzac,27,9.21,25663,,100,0,,23.1,34.6,500,10.00166667,7,30,0,0,30,
11058,Cailhau,260,25.72,186284,21650,89.2,4.2,50,25.5,26.5,235,5.038333333,3,15,2.4,9.5,9.9,
11059,Cailhavel,148,26.97,92012,20060,95,0,0,32.7,23.6,125,6.256666667,3,15,3.9,8.6,10.4,3.23
11060,Cailla,51,6.54,32529,,88,20,25,34.9,25.6,300,6.28,7,30,0,0,16.7,
11061,Cambieure,321,97.81,208971,21650,98.4,16,35.5,25.7,30.4,86,4.541666667,3,15,9.7,1.9,9.2,1.54
11062,Campagna-de-Sault,19,1.83,37317,,130,0,100,27.8,22.2,,22.5,15,45,0,0,14.3,
11063,Campagne-sur-Aude,613,101.51,467184,19610,85.2,11.5,47.1,16.9,34.1,167,3.845,3,7,4.5,15.4,27.3,
11064,Camplong-d'Aude,384,30.37,222789,17830,85.9,8.8,50,17.3,34,123,5.276666667,7,15,3.3,14.8,12.6,4.73
11065,Camps-sur-l'Agly,56,1.94,56486,,96.7,16.7,55.6,26.7,22.2,300,12.045,3,15,0,24.3,31.8,
11066,Camurac,107,8.96,195464,17080,81.7,0,44.4,20.9,27.5,338,6.923333333,3,45,0,0,23.7,
11067,Canet,1 854,130.48,1226986,20910,92.1,11,53.8,21.8,25.7,78,3.42,3,15,2.6,13,15.5,1.52
11068,Capendu,1 510,97.42,1072623,18320,87.9,9.7,37.8,19.1,34.6,152,3.951666667,3,3,2.7,12.8,17.1,13.58
11069,Carcassonne,47 345,717.16,52443343,18800,78.6,11.8,44.6,27.5,29.4,115,5.923333333,3,3,5.6,9.1,20.1,20.36
11070,Carlipa,344,64.26,206910,20140,92.5,5.7,54.8,29.4,23.1,70,5.445,3,15,10,6.9,18,
11071,Cascastel-des-Corbières,221,14.5,180238,17230,88,5,33.3,15.3,36.2,120,6.66,3,30,0,12.1,19,
11072,La Cassaigne,180,13.44,126873,22650,82.7,13.3,41.2,29.4,27,122,6.943333333,15,15,3.1,21.4,15.8,2.86
11073,Cassaignes,58,15.78,30397,,110,0,0,32.7,12.7,600,5.756666667,7,7,0,0,13.3,
11074,Les Cassés,322,42.17,163102,21730,96,7.4,17.4,44.7,16.4,63,6.413333333,3,15,5.8,13.1,12.7,
11075,Castans,133,7.88,129408,15520,90,6.2,20,30.3,21,329,16.655,7,30,0,0,24,
11076,Castelnaudary,12 974,261.25,13276975,19450,78.7,12.5,46,26.2,30.2,112,5.756666667,3,3,5.4,10.3,14,16.15
11077,Castelnau-d'Aude,509,67.75,574477,20430,94.3,9,34.6,23.6,23.4,91,2.855,3,15,0,16,12.2,
11078,Castelreng,207,18.69,128116,17630,96.7,5.6,0,34.3,25.9,108,15.13333333,3,15,6.7,0,14.4,
