Libellé,Densité de population 2020,Potentiel financier 2023,Médiane du revenu disponible par UC 2020,Part des ménages disposant d'au moins une voiture 2020,Part des ménages dont la famille principale est une famille monoparentale 2020,"Part des personnes de 75 ans et plus vivant seules 2020
Ensemble","Part des diplomés du supérieur parmi les 15 ans et plus non scolarisés 2020
Ensemble","Part des non diplomés parmi les 15 ans et plus non scolarisés 2020
Ensemble",Indice de vieillissement 2020,Temps d'accès au chef lieu de proximité,Temps d'accès aux bibliothèques,Temps d'accès aux collèges,"Part des ""cadres et professions intellectuelles supérieures"" dans la population 2020
Ensemble","Part des ""ouvriers"" dans la population 2020
Ensemble",Taux de chômage des 15 ans et plus (RP) 2020,Densité de logements sociaux,Cluster
Aigues-Vives,53.87,413451,17770,89.4,9.8,50.0,19.5,36.8,95,3.323333333,3,15,0.0,16.2,14.5,0.0,2
Airoux,30.97,139410,22990,93.8,0.0,33.3,46.7,18.0,64,3.018333333,7,15,11.2,11.2,12.5,0.0,2
Ajac,38.0,141594,21770,93.6,0.0,40.0,21.6,26.9,241,13.40166667,3,15,5.6,13.9,17.0,0.0,2
Alaigne,24.31,192021,18460,88.4,16.1,60.0,25.9,28.9,245,3.753333333,3,15,1.8,14.3,14.4,0.0,2
Alairac,81.73,754568,21650,96.6,9.2,58.7,30.7,18.5,67,2.888333333,3,7,8.2,10.3,12.0,11.27,0
Albas,3.44,88020,17707,86.7,0.0,100.0,30.9,30.9,310,10.23833333,7,45,0.0,0.0,16.0,0.0,1
Albières,6.9,86249,17800,80.0,7.1,0.0,34.7,19.4,152,18.86333333,7,30,8.8,4.4,25.9,0.0,4
Alet-les-Bains,16.48,530869,18710,81.1,4.6,55.4,24.8,33.0,258,6.696666667,15,15,2.9,8.6,20.8,3.74,3
Alzonne,71.13,1501528,19160,85.0,15.2,44.1,17.3,39.2,99,6.611666667,3,15,2.5,15.8,20.4,13.04,0
Antugnac,28.45,199092,20150,95.6,13.7,15.2,29.3,22.2,226,4.851666667,7,7,3.8,5.5,15.6,0.0,2
Aragon,22.71,313520,22390,92.0,6.7,16.7,35.8,20.8,115,6.083333333,3,15,8.4,6.0,10.0,0.0,2
Argeliers,199.72,1508064,20810,92.2,7.2,29.4,24.0,25.0,111,5.51,3,15,5.0,11.6,13.0,2.52,2
Argens-Minervois,77.34,250324,20850,98.2,5.6,29.7,16.8,30.4,274,4.771666667,3,15,7.5,11.3,18.5,0.0,2
Armissan,119.5,1014333,22610,95.1,8.3,21.5,31.8,22.6,139,4.165,3,15,6.2,8.5,11.7,5.02,2
Arques,14.09,205152,14670,88.1,11.9,25.0,33.5,25.3,105,8.77,3,15,7.0,2.3,22.7,2.38,4
Arquettes-en-Val,8.59,87509,17740,91.1,0.0,50.0,18.4,28.9,967,3.348333333,3,30,5.9,5.9,8.3,0.0,1
Artigues,11.92,88203,17622,92.5,0.0,50.0,18.3,40.8,850,3.186666667,7,30,0.0,0.0,10.7,0.0,4
Arzens,57.37,1002660,22090,92.7,11.9,42.9,26.5,23.7,109,4.806666667,3,3,3.9,13.6,9.6,6.78,2
Aunat,5.84,99097,17403,77.1,14.3,33.3,16.0,30.0,208,10.65333333,3,30,9.1,0.0,18.8,0.0,4
Auriac,1.67,50271,16931,113.3,0.0,0.0,44.4,18.5,250,23.45,15,30,0.0,20.0,18.2,0.0,3
Axat,43.59,475338,19020,85.1,8.3,39.0,16.0,37.0,250,11.94666667,3,15,3.6,5.6,11.8,13.83,0
Azille,48.14,911160,19100,87.5,10.5,40.9,20.5,33.3,165,3.421666667,3,15,1.5,12.8,20.2,2.84,2
Badens,77.6,411491,20320,89.3,9.6,24.4,22.9,29.3,121,4.673333333,3,7,6.3,12.6,14.9,4.62,2
Bages,62.41,622541,21190,90.1,9.3,29.7,29.9,24.0,116,5.461666667,3,7,2.2,8.2,11.9,0.0,2
Bagnoles,54.71,185224,20020,98.4,19.2,27.8,25.7,25.2,79,2.04,3,15,4.4,8.8,15.2,0.0,2
Baraigne,36.13,87664,23800,97.1,0.0,0.0,28.1,15.6,68,5.116666667,7,15,3.7,19.1,11.0,0.0,2
Barbaira,84.36,832354,18970,86.1,10.3,59.1,22.9,24.3,77,4.988333333,3,7,4.9,11.2,15.0,10.26,0
Belcaire,12.26,279780,18960,94.2,2.6,45.5,21.2,29.4,316,6.933333333,3,30,3.0,1.5,13.0,3.68,4
Belcastel-et-Buc,4.31,44240,17437,100.0,0.0,0.0,30.2,17.0,343,10.50333333,7,15,0.0,0.0,3.8,0.0,4
Belflou,12.77,71029,25500,100.0,11.1,0.0,48.7,21.8,61,4.443333333,7,15,23.5,12.3,3.3,0.0,2
